DateKey,Date,Year,Month,Week,Weekday,IsWeekend
20220101,2022-01-01,2022,1,52,6,True
20220102,2022-01-02,2022,1,52,7,True
20220103,2022-01-03,2022,1,1,1,False
20220104,2022-01-04,2022,1,1,2,False
20220105,2022-01-05,2022,1,1,3,False
20220106,2022-01-06,2022,1,1,4,False
20220107,2022-01-07,2022,1,1,5,False
20220108,2022-01-08,2022,1,1,6,True
20220109,2022-01-09,2022,1,1,7,True
20220110,2022-01-10,2022,1,2,1,False
20220111,2022-01-11,2022,1,2,2,False
20220112,2022-01-12,2022,1,2,3,False
20220113,2022-01-13,2022,1,2,4,False
20220114,2022-01-14,2022,1,2,5,False
20220115,2022-01-15,2022,1,2,6,True
20220116,2022-01-16,2022,1,2,7,True
20220117,2022-01-17,2022,1,3,1,False
20220118,2022-01-18,2022,1,3,2,False
20220119,2022-01-19,2022,1,3,3,False
20220120,2022-01-20,2022,1,3,4,False
20220121,2022-01-21,2022,1,3,5,False
20220122,2022-01-22,2022,1,3,6,True
20220123,2022-01-23,2022,1,3,7,True
20220124,2022-01-24,2022,1,4,1,False
20220125,2022-01-25,2022,1,4,2,False
20220126,2022-01-26,2022,1,4,3,False
20220127,2022-01-27,2022,1,4,4,False
20220128,2022-01-28,2022,1,4,5,False
20220129,2022-01-29,2022,1,4,6,True
20220130,2022-01-30,2022,1,4,7,True
20220131,2022-01-31,2022,1,5,1,False
20220201,2022-02-01,2022,2,5,2,False
20220202,2022-02-02,2022,2,5,3,False
20220203,2022-02-03,2022,2,5,4,False
20220204,2022-02-04,2022,2,5,5,False
20220205,2022-02-05,2022,2,5,6,True
20220206,2022-02-06,2022,2,5,7,True
20220207,2022-02-07,2022,2,6,1,False
20220208,2022-02-08,2022,2,6,2,False
20220209,2022-02-09,2022,2,6,3,False
20220210,2022-02-10,2022,2,6,4,False
20220211,2022-02-11,2022,2,6,5,False
20220212,2022-02-12,2022,2,6,6,True
20220213,2022-02-13,2022,2,6,7,True
20220214,2022-02-14,2022,2,7,1,False
20220215,2022-02-15,2022,2,7,2,False
20220216,2022-02-16,2022,2,7,3,False
20220217,2022-02-17,2022,2,7,4,False
20220218,2022-02-18,2022,2,7,5,False
20220219,2022-02-19,2022,2,7,6,True
20220220,2022-02-20,2022,2,7,7,True
20220221,2022-02-21,2022,2,8,1,False
20220222,2022-02-22,2022,2,8,2,False
20220223,2022-02-23,2022,2,8,3,False
20220224,2022-02-24,2022,2,8,4,False
20220225,2022-02-25,2022,2,8,5,False
20220226,2022-02-26,2022,2,8,6,True
20220227,2022-02-27,2022,2,8,7,True
20220228,2022-02-28,2022,2,9,1,False
20220301,2022-03-01,2022,3,9,2,False
20220302,2022-03-02,2022,3,9,3,False
20220303,2022-03-03,2022,3,9,4,False
20220304,2022-03-04,2022,3,9,5,False
20220305,2022-03-05,2022,3,9,6,True
20220306,2022-03-06,2022,3,9,7,True
20220307,2022-03-07,2022,3,10,1,False
20220308,2022-03-08,2022,3,10,2,False
20220309,2022-03-09,2022,3,10,3,False
20220310,2022-03-10,2022,3,10,4,False
20220311,2022-03-11,2022,3,10,5,False
20220312,2022-03-12,2022,3,10,6,True
20220313,2022-03-13,2022,3,10,7,True
20220314,2022-03-14,2022,3,11,1,False
20220315,2022-03-15,2022,3,11,2,False
20220316,2022-03-16,2022,3,11,3,False
20220317,2022-03-17,2022,3,11,4,False
20220318,2022-03-18,2022,3,11,5,False
20220319,2022-03-19,2022,3,11,6,True
20220320,2022-03-20,2022,3,11,7,True
20220321,2022-03-21,2022,3,12,1,False
20220322,2022-03-22,2022,3,12,2,False
20220323,2022-03-23,2022,3,12,3,False
20220324,2022-03-24,2022,3,12,4,False
20220325,2022-03-25,2022,3,12,5,False
20220326,2022-03-26,2022,3,12,6,True
20220327,2022-03-27,2022,3,12,7,True
20220328,2022-03-28,2022,3,13,1,False
20220329,2022-03-29,2022,3,13,2,False
20220330,2022-03-30,2022,3,13,3,False
20220331,2022-03-31,2022,3,13,4,False
20220401,2022-04-01,2022,4,13,5,False
20220402,2022-04-02,2022,4,13,6,True
20220403,2022-04-03,2022,4,13,7,True
20220404,2022-04-04,2022,4,14,1,False
20220405,2022-04-05,2022,4,14,2,False
20220406,2022-04-06,2022,4,14,3,False
20220407,2022-04-07,2022,4,14,4,False
20220408,2022-04-08,2022,4,14,5,False
20220409,2022-04-09,2022,4,14,6,True
20220410,2022-04-10,2022,4,14,7,True
20220411,2022-04-11,2022,4,15,1,False
20220412,2022-04-12,2022,4,15,2,False
20220413,2022-04-13,2022,4,15,3,False
20220414,2022-04-14,2022,4,15,4,False
20220415,2022-04-15,2022,4,15,5,False
20220416,2022-04-16,2022,4,15,6,True
20220417,2022-04-17,2022,4,15,7,True
20220418,2022-04-18,2022,4,16,1,False
20220419,2022-04-19,2022,4,16,2,False
20220420,2022-04-20,2022,4,16,3,False
20220421,2022-04-21,2022,4,16,4,False
20220422,2022-04-22,2022,4,16,5,False
20220423,2022-04-23,2022,4,16,6,True
20220424,2022-04-24,2022,4,16,7,True
20220425,2022-04-25,2022,4,17,1,False
20220426,2022-04-26,2022,4,17,2,False
20220427,2022-04-27,2022,4,17,3,False
20220428,2022-04-28,2022,4,17,4,False
20220429,2022-04-29,2022,4,17,5,False
20220430,2022-04-30,2022,4,17,6,True
20220501,2022-05-01,2022,5,17,7,True
20220502,2022-05-02,2022,5,18,1,False
20220503,2022-05-03,2022,5,18,2,False
20220504,2022-05-04,2022,5,18,3,False
20220505,2022-05-05,2022,5,18,4,False
20220506,2022-05-06,2022,5,18,5,False
20220507,2022-05-07,2022,5,18,6,True
20220508,2022-05-08,2022,5,18,7,True
20220509,2022-05-09,2022,5,19,1,False
20220510,2022-05-10,2022,5,19,2,False
20220511,2022-05-11,2022,5,19,3,False
20220512,2022-05-12,2022,5,19,4,False
20220513,2022-05-13,2022,5,19,5,False
20220514,2022-05-14,2022,5,19,6,True
20220515,2022-05-15,2022,5,19,7,True
20220516,2022-05-16,2022,5,20,1,False
20220517,2022-05-17,2022,5,20,2,False
20220518,2022-05-18,2022,5,20,3,False
20220519,2022-05-19,2022,5,20,4,False
20220520,2022-05-20,2022,5,20,5,False
20220521,2022-05-21,2022,5,20,6,True
20220522,2022-05-22,2022,5,20,7,True
20220523,2022-05-23,2022,5,21,1,False
20220524,2022-05-24,2022,5,21,2,False
20220525,2022-05-25,2022,5,21,3,False
20220526,2022-05-26,2022,5,21,4,False
20220527,2022-05-27,2022,5,21,5,False
20220528,2022-05-28,2022,5,21,6,True
20220529,2022-05-29,2022,5,21,7,True
20220530,2022-05-30,2022,5,22,1,False
20220531,2022-05-31,2022,5,22,2,False
20220601,2022-06-01,2022,6,22,3,False
20220602,2022-06-02,2022,6,22,4,False
20220603,2022-06-03,2022,6,22,5,False
20220604,2022-06-04,2022,6,22,6,True
20220605,2022-06-05,2022,6,22,7,True
20220606,2022-06-06,2022,6,23,1,False
20220607,2022-06-07,2022,6,23,2,False
20220608,2022-06-08,2022,6,23,3,False
20220609,2022-06-09,2022,6,23,4,False
20220610,2022-06-10,2022,6,23,5,False
20220611,2022-06-11,2022,6,23,6,True
