TicketID,CreatedDateKey,ClosedDateKey,EmployeeID,AssignedTeamID,SLA_ID,Priority,Status,TimeToClose (hrs),SLA_Violated,Category
1,20230306,20230311,1456,33,2,High,Escalated,40,No,Hardware
2,20240911,20240914,1448,17,2,Critical,Resolved,23,No,Network
3,20250825,20250904,1504,9,3,Medium,Resolved,79,No,Account Access
4,20230604,20230607,1061,16,1,High,Escalated,25,No,Email
5,20230814,20230825,1027,14,2,Medium,Escalated,87,No,Other
6,20241116,20241123,1287,11,2,Low,Open,54,Yes,Hardware
7,20220718,20220721,1185,36,2,Low,Open,25,No,Network
8,20230122,20230124,1581,3,3,Critical,Resolved,15,Yes,Hardware
9,20221215,20221218,1124,20,2,High,Escalated,24,No,Software
10,20240817,20240828,1150,31,3,Medium,Open,88,No,Email
11,20231124,20231128,1447,4,3,Low,Open,32,No,Hardware
12,20230113,20230122,1469,31,3,Critical,Closed,75,No,Other
13,20240617,20240629,1670,18,4,Medium,Resolved,96,No,Account Access
14,20240704,20240706,1018,2,1,Critical,Closed,14,Yes,Account Access
15,20230611,20230625,1711,14,1,Medium,Escalated,116,No,Other
16,20250322,20250328,1007,38,2,Critical,Open,49,No,Network
17,20240104,20240109,1467,25,3,High,Escalated,40,No,Email
18,20220725,20220731,1254,14,4,Low,Closed,51,No,Account Access
19,20230331,20230405,1319,6,1,Medium,Closed,42,No,Other
20,20250720,20250726,1727,25,2,Low,Escalated,48,No,Network
21,20250613,20250625,1204,40,3,Critical,Resolved,97,No,Software
22,20230605,20230609,1637,30,2,Medium,Resolved,31,No,Account Access
23,20241013,20241021,1552,23,4,Low,Escalated,67,No,Software
24,20240813,20240825,1178,35,3,Medium,Resolved,95,No,Other
25,20231227,20240105,1518,24,1,High,Closed,72,No,Network
26,20241010,20241020,1508,33,1,High,Resolved,78,Yes,Email
27,20230516,20230523,1179,9,4,Critical,Escalated,55,No,Hardware
28,20220427,20220511,1071,24,2,Critical,Resolved,111,No,Email
29,20230121,20230204,1730,18,4,Critical,Resolved,111,No,Hardware
30,20250929,20251013,1746,39,2,Low,Closed,112,Yes,Other
31,20230807,20230818,1258,29,4,High,Closed,89,No,Network
32,20230130,20230211,1144,10,1,High,Open,98,No,Network
33,20241223,20241224,1494,27,2,Critical,Closed,10,No,Software
34,20231222,20231227,1072,13,3,High,Open,40,Yes,Other
35,20220313,20220320,1370,14,3,Medium,Escalated,56,Yes,Other
36,20221001,20221006,1069,38,4,Low,Open,39,No,Other
37,20250905,20250910,1135,32,3,Medium,Resolved,39,No,Hardware
38,20221204,20221216,1175,31,1,Low,Closed,96,Yes,Hardware
39,20251021,20251026,1083,32,4,High,Open,39,No,Software
40,20230830,20230904,1281,26,3,Low,Open,37,No,Account Access
41,20220615,20220628,1057,36,4,High,Open,105,No,Account Access
42,20220111,20220122,1373,40,1,High,Resolved,89,No,Other
43,20250817,20250822,1441,40,4,High,Resolved,41,No,Hardware
44,20231230,20231231,1607,21,2,High,Resolved,7,No,Other
45,20240311,20240323,1735,13,4,Medium,Resolved,97,No,Network
46,20220412,20220418,1005,16,2,Critical,Escalated,45,No,Hardware
47,20251219,20251230,1513,30,2,High,Escalated,87,No,Hardware
48,20251116,20251127,1534,16,4,Medium,Open,88,No,Hardware
49,20240218,20240301,1604,26,4,Critical,Closed,99,No,Network
50,20220802,20220815,1518,31,1,Critical,Open,103,No,Email
51,20250116,20250122,1445,22,3,Critical,Open,48,Yes,Hardware
52,20230205,20230213,1029,32,2,Critical,Resolved,65,No,Email
53,20230811,20230825,1591,32,3,Medium,Escalated,112,No,Network
54,20240607,20240612,1512,18,4,High,Open,41,Yes,Account Access
55,20241205,20241207,1204,36,3,High,Resolved,12,No,Hardware
56,20230815,20230828,1256,26,3,High,Open,101,No,Account Access
57,20250826,20250902,1405,31,4,Low,Escalated,60,No,Other
58,20250114,20250128,1573,40,2,Medium,Open,113,No,Other
59,20220402,20220403,1591,1,4,Medium,Escalated,8,Yes,Software
60,20231104,20231109,1242,9,2,Critical,Open,41,No,Software
61,20231215,20231227,1555,34,2,Medium,Resolved,94,No,Email
